state_full,state,status_new,last_change,red,blue,purple
Alabama,AL,Republican trifecta,2011,1,0,0
Alaska,AK,Divided government,2015,0,0,1
Arizona,AZ,Republican trifecta,2009,1,0,0
Arkansas,AR,Republican trifecta,2015,1,0,0
California,CA,Democratic trifecta,2011,0,1,0
Colorado,CO,Democratic trifecta,2019,0,1,0
Connecticut,CT,Democratic trifecta,2011,0,1,0
Delaware,DE,Democratic trifecta,2009,0,1,0
Florida,FL,Republican trifecta,2011,1,0,0
Georgia,GA,Republican trifecta,2005,1,0,0
Hawaii,HI,Democratic trifecta,2011,0,1,0
Idaho,ID,Republican trifecta,1995,1,0,0
Illinois,IL,Democratic trifecta,2019,0,1,0
Indiana,IN,Republican trifecta,2011,1,0,0
Iowa,IA,Republican trifecta,2017,1,0,0
Kansas,KS,Divided government,2019,0,0,1
Kentucky,KY,Divided government,2019,0,0,1
Louisiana,LA,Divided government,2016,0,0,1
Maine,ME,Democratic trifecta,2019,0,1,0
Maryland,MD,Divided government,2015,0,0,1
Massachusetts,MA,Divided government,2015,0,0,1
Michigan,MI,Divided government,2019,0,0,1
Minnesota,MN,Divided government,2015,0,0,1
Mississippi,MS,Republican trifecta,2012,1,0,0
Missouri,MO,Republican trifecta,2017,1,0,0
Montana,MT,Republican trifecta,2021,1,0,0
Nebraska,NE,Republican trifecta,1999,1,0,0
Nevada,NV,Democratic trifecta,2019,0,1,0
New Hampshire,NH,Republican trifecta,2020,1,0,0
New Jersey,NJ,Democratic trifecta,2018,0,1,0
New Mexico,NM,Democratic trifecta,2019,0,1,0
New York,NY,Democratic trifecta,2019,0,1,0
North Carolina,NC,Divided government,2017,0,0,1
North Dakota,ND,Republican trifecta,1995,1,0,0
Ohio,OH,Republican trifecta,2011,1,0,0
Oklahoma,OK,Republican trifecta,2011,1,0,0
Oregon,OR,Democratic trifecta,2013,0,1,0
Pennsylvania,PA,Divided government,2015,0,0,1
Rhode Island,RI,Democratic trifecta,2013,0,1,0
South Carolina,SC,Republican trifecta,2003,1,0,0
South Dakota,SD,Republican trifecta,1995,1,0,0
Tennessee,TN,Republican trifecta,2011,1,0,0
Texas,TX,Republican trifecta,2003,1,0,0
Utah,UT,Republican trifecta,1985,1,0,0
Vermont,VT,Divided government,2017,0,0,1
Virginia,VA,Divided government,2022,0,0,1
Washington,WA,Democratic trifecta,2017,0,1,0
West Virginia,WV,Republican trifecta,2017,1,0,0
Wisconsin,WI,Divided government,2019,0,0,1
Wyoming,WY,Republican trifecta,2011,1,0,0
